,bse,p/e,eps_2022,eps_2021,eps_2020,cagr,criteria
1,JINDALSTEL,8.49,81.2,70.14,6.06,75.0,8.8339222614841
2,VEDL,6.58,46.39,28.26,-18.11,56.0,8.51063829787234
3,TATASTEEL,6.73,27.03,14.27,5.99,56.0,8.320950965824665
4,BANKBARODA,7.45,14.06,1.6,1.18,34.0,4.563758389261745
5,NMDC,6.66,32.07,21.34,11.79,26.0,3.903903903903904
6,SAIL,12.0,29.09,9.32,4.89,46.0,3.8333333333333335
7,SBIN,11.1,35.49,22.87,16.23,35.0,3.1531531531531534
8,HINDZINC,12.1,22.79,18.89,16.11,33.0,2.7272727272727275
9,NTPC,10.0,16.62,14.2,10.22,26.0,2.6
10,HINDALCO,21.5,24.51,4.42,2.76,51.0,2.372093023255814
11,POWERGRID,10.7,24.51,17.11,15.5,24.0,2.2429906542056077
12,CHOLAFIN,25.0,26.15,18.47,12.84,52.0,2.08
13,IDBI,15.7,2.27,1.26,-12.41,29.0,1.8471337579617835
14,JSWSTEEL,31.4,69.1,34.72,21.89,57.0,1.8152866242038217
15,WIPRO,16.7,22.14,18.36,15.19,30.0,1.7964071856287427
16,ICICIBANK,19.6,33.59,23.41,12.25,32.0,1.6326530612244896
17,AXISBANK,13.3,42.43,21.5,5.77,20.0,1.5037593984962405
18,INFY,26.2,50.48,42.36,36.49,37.0,1.4122137404580153
19,MUTHOOTFIN,10.6,98.53,92.78,75.26,13.0,1.2264150943396226
20,CIPLA,25.5,36.66,30.61,28.75,30.0,1.1764705882352942
21,RELIANCE,36.3,57.77,50.39,45.7,31.0,0.8539944903581268
22,AMBUJACEM,35.5,10.48,9.02,7.7,30.0,0.8450704225352113
23,PIIND,39.7,54.03,46.83,32.03,33.0,0.8312342569269521
24,HDFCBANK,20.8,66.65,56.44,47.89,17.0,0.8173076923076923
25,DIVISLAB,31.2,111.07,73.63,51.71,14.0,0.44871794871794873
26,IOC,26.6,17.13,15.46,0.93,10.0,0.37593984962406013
27,PNB,34.0,3.14,1.93,0.5,11.0,0.3235294117647059
